case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,y_mm,bx_abs_t,by_abs_t
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,51.062000,5.950422e-02,4.955785e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,51.488000,6.617714e-02,4.936783e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,51.914000,7.285006e-02,4.917782e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,52.340000,7.952298e-02,4.898780e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,52.766000,8.650186e-02,4.905592e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,53.192000,9.783796e-02,4.860110e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,53.618000,1.063041e-01,4.805387e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,54.044000,1.141019e-01,4.752165e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,54.470000,1.218998e-01,4.698942e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,54.896000,1.296976e-01,4.645719e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,55.322000,1.383909e-01,4.564655e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,55.748000,1.474455e-01,4.472357e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,56.174000,1.565000e-01,4.380059e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,56.600000,1.655546e-01,4.287760e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,14.000000,3.243921e-01,8.631327e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,14.426000,3.097122e-01,8.800713e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,14.852000,2.950323e-01,8.970099e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,15.278000,2.803524e-01,9.139486e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,15.704000,2.647226e-01,9.304123e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,16.130000,2.454705e-01,9.404226e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,16.556000,2.270328e-01,9.505913e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,16.982000,2.085033e-01,9.619774e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,17.408000,1.909640e-01,9.721698e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,17.834000,1.742977e-01,9.793700e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,18.260000,1.576203e-01,9.855193e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,18.686000,1.441578e-01,9.894641e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,19.112000,1.328011e-01,9.919652e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,19.538000,1.209088e-01,9.943078e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,19.964000,1.082520e-01,9.952076e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,20.390000,1.007123e-01,9.929344e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,20.816000,9.360599e-02,9.927609e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,21.242000,8.649964e-02,9.925874e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,21.668000,7.939329e-02,9.924139e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,22.094000,7.228694e-02,9.922404e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,22.520000,6.518060e-02,9.920670e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,22.946000,5.833207e-02,9.938146e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,23.372000,5.149472e-02,9.956455e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,23.798000,4.405488e-02,9.920287e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,24.224000,3.658559e-02,9.881456e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,24.650000,2.911629e-02,9.842624e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,25.076000,2.683677e-02,9.810931e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,25.502000,2.500755e-02,9.779856e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,25.928000,2.225444e-02,9.729242e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,26.354000,1.932990e-02,9.675002e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,26.780000,1.723236e-02,9.614100e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,27.206000,1.553876e-02,9.549944e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,27.632000,1.384515e-02,9.485788e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,28.058000,1.288383e-02,9.427232e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,28.484000,1.251289e-02,9.361114e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,28.910000,1.114681e-02,9.276634e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,29.336000,9.088929e-03,9.193881e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,29.762000,7.031046e-03,9.111128e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,30.188000,5.571945e-03,9.018719e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,30.614000,6.169686e-03,8.893142e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,31.040000,6.767427e-03,8.767565e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,31.466000,5.427375e-03,8.634387e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,31.892000,3.888378e-03,8.494908e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,32.318000,2.349381e-03,8.355429e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,32.744000,1.226834e-03,8.213969e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,33.170000,2.401553e-03,8.061579e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,33.596000,3.576272e-03,7.909190e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,34.022000,4.750990e-03,7.756800e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,34.448000,1.506580e-07,7.657353e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,34.874000,6.273313e-08,7.657353e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,35.300000,2.521847e-08,7.657353e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,35.726000,1.131345e-07,7.657353e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,36.152000,2.010615e-07,7.657353e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,36.578000,2.628427e-03,7.759989e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,37.004000,2.348739e-03,7.917265e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,37.430000,2.069052e-03,8.074542e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,37.856000,3.327316e-03,8.225865e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,38.282000,5.916552e-03,8.372036e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,38.708000,7.215379e-03,8.516267e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,39.134000,6.361085e-03,8.657264e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,39.560000,5.394331e-03,8.791382e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,39.986000,3.825357e-03,8.888661e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,40.412000,2.256384e-03,8.985941e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,40.838000,2.316919e-03,9.093655e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,41.264000,3.845151e-03,9.210768e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,41.690000,6.055470e-03,9.309715e-01
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,42.116000,9.705828e-03,9.370311e-01
