f_Hz,x_mm,y_mm,absA_full,absA_sig0,absBx_full,absBx_sig0,absBy_full,absBy_sig0
1000,0.100000,28.994000,7.921604e-05,5.656611e-05,1.815773e-02,2.066216e-02,3.489197e-01,1.260721e-01
1000,0.100000,29.113000,8.097110e-05,5.892577e-05,1.936108e-02,2.136977e-02,3.429145e-01,1.258230e-01
1000,0.100000,29.232000,8.197394e-05,6.129608e-05,2.113332e-02,2.205645e-02,3.356011e-01,1.255412e-01
1000,0.100000,29.351000,8.474496e-05,6.402860e-05,2.168694e-02,2.274023e-02,3.301878e-01,1.252065e-01
1000,0.100000,29.470000,8.751842e-05,6.676967e-05,2.224890e-02,2.343399e-02,3.247747e-01,1.248718e-01
1000,0.100000,29.589000,9.029409e-05,6.951829e-05,2.281856e-02,2.413687e-02,3.193616e-01,1.245370e-01
1000,0.100000,29.708000,9.307179e-05,7.227358e-05,2.339539e-02,2.484811e-02,3.139486e-01,1.242023e-01
1000,0.100000,29.827000,9.391497e-05,7.496965e-05,2.373775e-02,2.550901e-02,3.094098e-01,1.238497e-01
1000,0.100000,29.946000,9.555645e-05,7.791397e-05,2.415358e-02,2.614714e-02,3.057427e-01,1.234852e-01
1000,0.100000,30.065000,9.865360e-05,8.108037e-05,2.473206e-02,2.679378e-02,3.023483e-01,1.231196e-01
1000,0.100000,30.184000,1.017555e-04,8.425763e-05,2.531347e-02,2.744362e-02,2.989539e-01,1.227541e-01
1000,0.100000,30.303000,1.048617e-04,8.744455e-05,2.589760e-02,2.809644e-02,2.955595e-01,1.223885e-01
1000,0.100000,30.422000,1.079719e-04,9.064012e-05,2.648428e-02,2.875203e-02,2.921651e-01,1.220230e-01
1000,0.100000,30.541000,1.112395e-04,9.397088e-05,2.659383e-02,2.944993e-02,2.902828e-01,1.218368e-01
1000,0.100000,30.660000,1.148071e-04,9.758711e-05,2.717409e-02,3.013720e-02,2.895608e-01,1.218002e-01
1000,0.100000,30.779000,1.184411e-04,1.012718e-04,2.787790e-02,3.082102e-02,2.890432e-01,1.217906e-01
1000,0.100000,30.898000,1.220808e-04,1.049667e-04,2.858229e-02,3.150539e-02,2.885257e-01,1.217811e-01
