case_id,mode,gap_mm,freq_hz,target_bn_t,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0086,LT0_OFF,3.000000,200000,0.200000,0,0,8.449979e+01,2.004029e-01,7.466408e-03,1.971715e-01,9.278130e-06,1.165924e+01,1.054567e+02,4.659585e+01,2.329315e+01,0.000000e+00
C0087,LT0_OFF,3.000000,200000,0.400000,0,0,1.689996e+02,4.008057e-01,1.493282e-02,3.943431e-01,9.278130e-06,1.165924e+01,4.218267e+02,1.863834e+02,9.317260e+01,0.000000e+00
C0088,LT0_OFF,3.000000,200000,0.800000,0,0,3.379991e+02,8.016115e-01,2.986563e-02,7.886861e-01,9.278130e-06,1.165924e+01,1.687307e+03,7.455336e+02,3.726904e+02,0.000000e+00
C0089,LT0_OFF,3.000000,200000,1.000000,0,0,4.224989e+02,1.002014e+00,3.733204e-02,9.858577e-01,9.278130e-06,1.165924e+01,2.636417e+03,1.164896e+03,5.823288e+02,0.000000e+00
C0090,LT0_OFF,3.000000,200000,1.300000,0,0,5.492486e+02,1.302619e+00,4.853165e-02,1.281615e+00,9.278130e-06,1.165924e+01,4.455545e+03,1.968675e+03,9.841356e+02,0.000000e+00
C0091,LT0_OFF,4.000000,200000,0.100000,0,0,5.262371e+01,1.002776e-01,3.630807e-03,9.880981e-02,7.449114e-06,9.360834e+00,3.459816e+01,1.160419e+01,5.802463e+00,0.000000e+00
C0092,LT0_OFF,4.000000,200000,0.200000,0,0,1.052474e+02,2.005553e-01,7.261615e-03,1.976196e-01,7.449114e-06,9.360834e+00,1.383926e+02,4.641676e+01,2.320985e+01,0.000000e+00
C0093,LT0_OFF,4.000000,200000,0.400000,0,0,2.104948e+02,4.011105e-01,1.452323e-02,3.952392e-01,7.449114e-06,9.360834e+00,5.535705e+02,1.856670e+02,9.283941e+01,0.000000e+00
C0094,LT0_OFF,4.000000,200000,0.800000,0,0,4.209897e+02,8.022210e-01,2.904646e-02,7.904785e-01,7.449114e-06,9.360834e+00,2.214282e+03,7.426682e+02,3.713576e+02,0.000000e+00
C0095,LT0_OFF,4.000000,200000,1.000000,0,0,5.262371e+02,1.002776e+00,3.630807e-02,9.880981e-01,7.449114e-06,9.360834e+00,3.459816e+03,1.160419e+03,5.802463e+02,0.000000e+00
C0096,LT0_OFF,4.000000,200000,1.300000,0,0,6.841082e+02,1.303609e+00,4.720049e-02,1.284527e+00,7.449114e-06,9.360834e+00,5.847089e+03,1.961108e+03,9.806163e+02,0.000000e+00
C0097,LT2_OFF,2.000000,10000,0.100000,2,0,3.053058e+01,1.001348e-01,4.051311e-03,9.901874e-02,1.283959e-05,8.067354e-01,1.840729e-01,3.326157e-02,1.663142e-02,0.000000e+00
C0098,LT2_OFF,2.000000,10000,0.200000,2,0,6.106115e+01,2.002696e-01,8.102622e-03,1.980375e-01,1.283959e-05,8.067354e-01,7.362916e-01,1.330463e-01,6.652568e-02,0.000000e+00
C0099,LT2_OFF,2.000000,10000,0.400000,2,0,1.221223e+02,4.005393e-01,1.620524e-02,3.960750e-01,1.283959e-05,8.067354e-01,2.945166e+00,5.321851e-01,2.661027e-01,0.000000e+00
C0100,LT2_OFF,2.000000,10000,0.800000,2,0,2.442446e+02,8.010786e-01,3.241049e-02,7.921499e-01,1.283959e-05,8.067354e-01,1.178066e+01,2.128740e+00,1.064411e+00,0.000000e+00
C0101,LT2_OFF,2.000000,10000,1.000000,2,0,3.053058e+02,1.001348e+00,4.051311e-02,9.901874e-01,1.283959e-05,8.067354e-01,1.840729e+01,3.326157e+00,1.663142e+00,0.000000e+00
C0102,LT2_OFF,2.000000,10000,1.300000,2,0,3.968975e+02,1.301753e+00,5.266704e-02,1.287244e+00,1.283959e-05,8.067354e-01,3.110832e+01,5.621205e+00,2.810710e+00,0.000000e+00
C0103,LT2_OFF,2.500000,10000,0.100000,2,0,3.657420e+01,1.001692e-01,4.007785e-03,9.871923e-02,1.071794e-05,6.734281e-01,2.507576e-01,3.314773e-02,1.657241e-02,0.000000e+00
C0104,LT2_OFF,2.500000,10000,0.200000,2,0,7.314841e+01,2.003385e-01,8.015571e-03,1.974385e-01,1.071794e-05,6.734281e-01,1.003030e+00,1.325909e-01,6.628963e-02,0.000000e+00
