case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx_grid,grid_n,px_bessel_w,py_tanh_w,f_bx_mesh
B50021,LT2_ON,3.000000,100000,0.500000,0.025000,2,1,2.111508e+02,5.010089e-01,2.622634e-02,4.900176e-01,9.282466e-06,5.832346e+00,1.876432e+02,9.229664e+01,4.613829e+01,0.01991753,120,4.37525146e-01,4.57007609e+01,0.02421956
B50022,LT2_ON,3.000000,100000,1.000000,0.025000,2,1,4.223016e+02,1.002018e+00,5.245268e-02,9.800351e-01,9.282466e-06,5.832346e+00,7.505727e+02,3.691866e+02,1.845531e+02,0.01991753,120,1.75010058e+00,1.82803044e+02,0.02421956
B50023,LT2_ON,3.000000,200000,0.500000,0.025000,2,1,2.112228e+02,5.010097e-01,3.086851e-02,4.855422e-01,9.279302e-06,1.166072e+01,6.926959e+02,3.295611e+02,1.647403e+02,0.01977224,120,1.61763971e+00,1.63122681e+02,0.02354785
B50024,LT2_ON,3.000000,200000,1.000000,0.025000,2,1,4.224456e+02,1.002019e+00,6.173702e-02,9.710844e-01,9.279302e-06,1.166072e+01,2.770783e+03,1.318244e+03,6.589613e+02,0.01977224,120,6.47055884e+00,6.52490723e+02,0.02354785
B50025,LT2_ON,3.500000,10000,0.500000,0.025000,2,1,2.377225e+02,5.011962e-01,1.785779e-02,4.922213e-01,8.244909e-06,5.180433e-01,1.017944e+01,9.588984e-01,4.794166e-01,0.02032662,120,4.71896232e-03,4.74697659e-01,0.02581707
B50026,LT2_ON,3.500000,10000,1.000000,0.025000,2,1,4.754449e+02,1.002392e+00,3.571559e-02,9.844427e-01,8.244909e-06,5.180433e-01,4.071775e+01,3.835594e+00,1.917666e+00,0.02032662,120,1.88758493e-02,1.89879064e+00,0.02581707
B50027,LT2_ON,3.500000,30000,0.500000,0.025000,2,1,2.377251e+02,5.011963e-01,1.899928e-02,4.919602e-01,8.244818e-06,1.554112e+00,2.696967e+01,8.602569e+00,4.300993e+00,0.02041957,120,4.24690686e-02,4.25852381e+00,0.02583663
B50028,LT2_ON,3.500000,30000,1.000000,0.025000,2,1,4.754501e+02,1.002393e+00,3.799856e-02,9.839203e-01,8.244818e-06,1.554112e+00,1.078787e+02,3.441027e+01,1.720397e+01,0.02041957,120,1.69876274e-01,1.70340953e+01,0.02583663
B50029,LT2_ON,3.500000,100000,0.500000,0.025000,2,1,2.377528e+02,5.011966e-01,2.564651e-02,4.892965e-01,8.243857e-06,5.179769e+00,2.141909e+02,9.204357e+01,4.601871e+01,0.02075697,120,4.61818342e-01,4.55568891e+01,0.02560856
B50030,LT2_ON,3.500000,100000,1.000000,0.025000,2,1,4.755056e+02,1.002393e+00,5.129303e-02,9.785931e-01,8.243857e-06,5.179769e+00,8.567637e+02,3.681743e+02,1.840748e+02,0.02075697,120,1.84727337e+00,1.82227556e+02,0.02560856
