case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0087,LT0_OFF,3.000000,200000,0.400000,0.010000,0,0,1.689006e+02,4.008067e-01,1.493177e-02,3.943447e-01,9.283564e-06,1.166607e+01,2.887083e+02,3.980812e+01,1.989998e+01,0.000000e+00
C0088,LT0_OFF,3.000000,200000,0.800000,0.010000,0,0,3.378013e+02,8.016134e-01,2.986354e-02,7.886894e-01,9.283564e-06,1.166607e+01,1.154833e+03,1.592325e+02,7.959992e+01,0.000000e+00
C0089,LT0_OFF,3.000000,200000,1.000000,0.010000,0,0,4.222516e+02,1.002017e+00,3.732942e-02,9.858617e-01,9.283564e-06,1.166607e+01,1.804427e+03,2.488007e+02,1.243749e+02,0.000000e+00
C0090,LT0_OFF,3.000000,200000,1.300000,0.010000,0,0,5.489271e+02,1.302622e+00,4.852825e-02,1.281620e+00,9.283564e-06,1.166607e+01,3.049482e+03,4.204732e+02,2.101935e+02,0.000000e+00
C0091,LT0_OFF,4.000000,200000,0.100000,0.010000,0,0,5.259893e+01,1.002779e-01,3.630485e-03,9.881026e-02,7.452623e-06,9.365243e+00,2.625534e+01,2.478446e+00,1.239301e+00,0.000000e+00
C0092,LT0_OFF,4.000000,200000,0.200000,0.010000,0,0,1.051979e+02,2.005558e-01,7.260971e-03,1.976205e-01,7.452623e-06,9.365243e+00,1.050214e+02,9.913782e+00,4.957206e+00,0.000000e+00
C0093,LT0_OFF,4.000000,200000,0.400000,0.010000,0,0,2.103957e+02,4.011115e-01,1.452194e-02,3.952410e-01,7.452623e-06,9.365243e+00,4.200855e+02,3.965513e+01,1.982882e+01,0.000000e+00
C0094,LT0_OFF,4.000000,200000,0.800000,0.010000,0,0,4.207914e+02,8.022230e-01,2.904388e-02,7.904821e-01,7.452623e-06,9.365243e+00,1.680342e+03,1.586205e+02,7.931529e+01,0.000000e+00
C0095,LT0_OFF,4.000000,200000,1.000000,0.010000,0,0,5.259893e+02,1.002779e+00,3.630485e-02,9.881026e-01,7.452623e-06,9.365243e+00,2.625534e+03,2.478446e+02,1.239301e+02,0.000000e+00
C0096,LT0_OFF,4.000000,200000,1.300000,0.010000,0,0,6.837861e+02,1.303612e+00,4.719631e-02,1.284533e+00,7.452623e-06,9.365243e+00,4.437153e+03,4.188573e+02,2.094419e+02,0.000000e+00
C0097,LT0_OFF,2.000000,10000,0.100000,0.018000,0,0,3.053053e+01,1.001348e-01,4.051310e-03,9.901874e-02,1.283961e-05,8.067366e-01,1.724673e-01,2.037662e-02,1.018870e-02,0.000000e+00
C0098,LT0_OFF,2.000000,10000,0.200000,0.018000,0,0,6.106105e+01,2.002696e-01,8.102621e-03,1.980375e-01,1.283961e-05,8.067366e-01,6.898693e-01,8.150647e-02,4.075479e-02,0.000000e+00
C0099,LT0_OFF,2.000000,10000,0.400000,0.018000,0,0,1.221221e+02,4.005393e-01,1.620524e-02,3.960750e-01,1.283961e-05,8.067366e-01,2.759477e+00,3.260259e-01,1.630192e-01,0.000000e+00
C0100,LT0_OFF,2.000000,10000,0.800000,0.018000,0,0,2.442442e+02,8.010786e-01,3.241048e-02,7.921499e-01,1.283961e-05,8.067366e-01,1.103791e+01,1.304104e+00,6.520767e-01,0.000000e+00
C0101,LT0_OFF,2.000000,10000,1.000000,0.018000,0,0,3.053053e+02,1.001348e+00,4.051310e-02,9.901874e-01,1.283961e-05,8.067366e-01,1.724673e+01,2.037662e+00,1.018870e+00,0.000000e+00
C0102,LT0_OFF,2.000000,10000,1.300000,0.018000,0,0,3.968968e+02,1.301753e+00,5.266704e-02,1.287244e+00,1.283961e-05,8.067366e-01,2.914698e+01,3.443648e+00,1.721890e+00,0.000000e+00
C0103,LT0_OFF,2.500000,10000,0.100000,0.018000,0,0,3.657416e+01,1.001692e-01,4.007785e-03,9.871923e-02,1.071795e-05,6.734290e-01,2.391387e-01,2.030688e-02,1.015255e-02,0.000000e+00
C0104,LT0_OFF,2.500000,10000,0.200000,0.018000,0,0,7.314831e+01,2.003385e-01,8.015570e-03,1.974385e-01,1.071795e-05,6.734290e-01,9.565549e-01,8.122750e-02,4.061018e-02,0.000000e+00
C0105,LT0_OFF,2.500000,10000,0.400000,0.018000,0,0,1.462966e+02,4.006769e-01,1.603114e-02,3.948769e-01,1.071795e-05,6.734290e-01,3.826219e+00,3.249100e-01,1.624407e-01,0.000000e+00
C0106,LT0_OFF,2.500000,10000,0.800000,0.018000,0,0,2.925932e+02,8.013539e-01,3.206228e-02,7.897538e-01,1.071795e-05,6.734290e-01,1.530488e+01,1.299640e+00,6.497629e-01,0.000000e+00
C0107,LT0_OFF,2.500000,10000,1.000000,0.018000,0,0,3.657416e+02,1.001692e+00,4.007785e-02,9.871923e-01,1.071795e-05,6.734290e-01,2.391387e+01,2.030688e+00,1.015255e+00,0.000000e+00
C0108,LT0_OFF,2.500000,10000,1.300000,0.018000,0,0,4.754640e+02,1.302200e+00,5.210120e-02,1.283350e+00,1.071795e-05,6.734290e-01,4.041444e+01,3.431862e+00,1.715780e+00,0.000000e+00
C0109,LT0_OFF,3.000000,10000,0.100000,0.018000,0,0,4.222408e+01,1.002017e-01,3.732931e-03,9.858619e-02,9.283803e-06,5.833188e-01,3.121896e-01,2.025595e-02,1.012590e-02,0.000000e+00
C0110,LT0_OFF,3.000000,10000,0.200000,0.018000,0,0,8.444815e+01,2.004034e-01,7.465862e-03,1.971724e-01,9.283803e-06,5.833188e-01,1.248758e+00,8.102382e-02,4.050361e-02,0.000000e+00
C0111,LT0_OFF,3.000000,10000,0.400000,0.018000,0,0,1.688963e+02,4.008068e-01,1.493172e-02,3.943448e-01,9.283803e-06,5.833188e-01,4.995033e+00,3.240953e-01,1.620144e-01,0.000000e+00
